__run_id,__done,round,configuration,position_goal,number_obstacles
run_758,DONE,18,19,2,0
run_759,DONE,18,19,2,2
run_760,DONE,19,0,2,0
run_761,DONE,19,0,2,2
run_762,DONE,19,1,2,0
run_763,DONE,19,1,2,2
run_764,DONE,19,2,2,0
run_765,DONE,19,2,2,2
run_766,DONE,19,3,2,0
run_767,DONE,19,3,2,2
run_768,DONE,19,4,2,0
run_769,DONE,19,4,2,2
run_770,DONE,19,5,2,0
run_771,DONE,19,5,2,2
run_772,DONE,19,6,2,0
run_773,DONE,19,6,2,2
run_774,DONE,19,7,2,0
run_775,DONE,19,7,2,2
run_776,DONE,19,8,2,0
run_777,DONE,19,8,2,2
run_778,DONE,19,9,2,0
run_779,DONE,19,9,2,2
run_780,DONE,19,10,2,0
run_781,DONE,19,10,2,2
run_782,DONE,19,11,2,0
run_783,DONE,19,11,2,2
run_784,DONE,19,12,2,0
run_785,DONE,19,12,2,2
run_786,DONE,19,13,2,0
run_787,DONE,19,13,2,2
run_788,DONE,19,14,2,0
run_789,DONE,19,14,2,2
run_790,DONE,19,15,2,0
run_791,DONE,19,15,2,2
run_792,DONE,19,16,2,0
run_793,DONE,19,16,2,2
run_794,DONE,19,17,2,0
run_795,DONE,19,17,2,2
run_796,DONE,19,18,2,0
run_797,DONE,19,18,2,2
run_798,DONE,19,19,2,0
run_799,DONE,19,19,2,2
